D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,flux,permeability,theta,frac_surface,frac_oxide,frac_metal,PRF,D_eff,P_interface,flux_intact,flux_defect,regime,system_rate_limiting,dominant_path
3.138671439530639e-07,74427.44004685906,0.08236884860316974,48984.53982677673,3.1736917374741195e-17,69419.20365541599,0.38970534932059975,64400.045215356266,0.003876188609806502,6.8336070332692875e-06,7360170.262460868,0.04324014540817444,0.09461806549011263,0.06098840053206276,0.048539066092491326,98.81059625939004,0.0003149772087070115,4.234329331590041e-10,1.137648337193431e+29,18373.172085497856,67369847362246.62,28516.972923551326,2.5108439392679024e+16,49679.59646124294,5.367626455549255e+26,28028.306978210006,1.3647300351462274e+27,950.6238947903983,7.99417666942392e-06,67895.54664338099,3.788084549223465e-07,16463.599443876315,0.0001240819320251404,70559.32315481202,0.00010807168053250431,33537.93899704408,2.2839308644654718e-05,1.3355071476742124e-14,0.5202847437365373,6.163330121938607e-08,0.38017517509502596,0.6198247632716727,,9.7597540576784e-09,9601.189290590017,4.094544388381034e-06,1.8744764256273683e-05,metal,mixed,mixed
1.276412125849806e-07,62599.18921528782,0.03231978042715554,26681.332912878617,6.984797282922958e-17,69251.3847124695,0.33318940440180556,81290.40757680478,0.0019747740132225527,9.050071324852892e-06,9872038.40879473,0.06256479095560963,0.07858705671776552,0.024611463164079455,0.1795506360252076,79.87890016427012,0.0001165312281659621,7.93883133554408e-10,1.0085671458378551e+29,18465.035255055715,239075459575799.6,27013.398755240585,1.813174257556339e+16,43657.405528802585,8.95417993928853e+26,35093.96792164793,1.939887084717316e+27,586.0470625113832,2.916427441669928e-06,57532.0087369572,8.574434388501832e-07,20216.983595123154,0.00010181280030156126,86654.19409700441,0.0004693129228004114,9505.629172803496,5.692608919097235e-10,4.296432091981181e-19,0.4359633527129967,2.0743057093471508e-09,0.3336557747115797,0.6663442232141145,,1.6533458695436122e-12,8590.095870234887,1.2078290783150664e-10,4.484779840782168e-10,metal,mixed,mixed
1.7513091872257125e-07,61468.197494175314,0.022315945592054142,24565.18733918693,2.0957878330260186e-17,69177.47520654966,0.2265733500865339,96981.56882786578,0.0013491858146516824,1.7600770629566933e-06,9793326.24255229,0.02877049473471801,0.05119828851377411,0.08024950181836404,0.08087660773190813,53.70811819130944,0.0003989839977403023,7.662483986497615e-10,8.30390955931652e+28,19641.785312472184,416569218143540.0,29734.522865856652,2.9249614241233572e+16,35646.69278043587,6.716463730298884e+27,26337.66845180504,3.538214799156359e+26,1125.236538602556,6.166638843387244e-06,41333.5401092702,8.657145215121082e-07,34944.934147239095,7.655564056049632e-05,93493.53873551895,0.00013785060460506772,35248.73497172491,0.0005943880569605369,7.228501510105408e-13,0.6214783643953994,9.220339384111191e-08,0.3216037656396374,0.6783961421569689,,2.1924618615840195e-08,3330783.523182261,0.00045056345243879787,0.00014382460452173906,metal,metal,intact
1.4170848581719875e-07,73716.57083378799,0.021994976835210428,44967.62261805598,6.950026231989929e-17,69717.23541003864,0.09880761019918584,97892.92071293347,0.0018082739552131915,5.1519479077010155e-06,1571507.5791124667,0.06347030364977138,0.09153350890702021,0.030033627835643673,0.3777918837318879,47.753447771380635,0.00047641928637713154,7.097274008101926e-10,1.0289322978504987e+29,18224.3608530704,182896500911657.4,28460.23884381193,3.4159602830871764e+16,49773.34329463417,4.52756828739055e+27,39506.36706570348,1.9364753809798857e+27,722.0342744045103,9.472333472065894e-06,59916.37565081657,9.770701698045852e-07,14211.336654144086,9.309423391258113e-05,77924.18698499806,0.00031541855911704155,14946.829229599247,2.8261976988360064e-09,5.196550349710907e-17,0.39110404620946265,1.0639852329564562e-10,0.1765801952065315,0.8234198046870698,,4.874137936968189e-12,973664.8484614709,2.216691048670717e-09,6.095066501652894e-10,metal,metal,intact
1.882368470305637e-07,67713.43255846847,0.04081266741241824,21238.542054462054,5.3806223047091476e-17,69119.77013184664,0.39095056665266664,158914.4724853447,0.00366937994484888,9.482913742915104e-06,4543178.949145291,0.016265536976856013,0.08005784927787957,0.05785183388431038,0.37516618134525725,36.083546993430545,0.0003894603494706749,7.36590403990007e-10,8.67579194368496e+28,23354.955366321818,94861790942701.81,28209.648879214925,3.169716395811777e+16,35683.89073649691,4.146787798541149e+27,32467.682346248308,1.7232673988330067e+27,945.5964500234198,9.361763139366164e-06,56171.37314092992,9.055692483458261e-07,17584.95390454957,7.718142896615256e-05,90964.48387147764,7.2095797617998e-05,15839.57809126058,4.756688020056481e-05,2.5846062518054688e-12,0.5598044252820273,5.29866504206035e-08,0.06859127506779915,0.9314086719455503,,3.978252448832625e-09,3856069.76521573,3.982233719266961e-05,7.744543007895199e-06,metal,metal,intact
2.1021317141047295e-07,73034.1828516764,0.011685925787794236,37039.258793073444,7.089161955877795e-17,70367.63243974592,0.23775460501503348,135663.24375641544,0.0028222224323910107,4.460309266872163e-06,8692960.41415078,0.035834988664222966,0.06971199984323667,0.03163238397791951,0.02488490153516339,59.68215880613867,3.3251794401680346e-05,9.899346553829932e-10,9.726761539284422e+28,24664.281116461956,554821968411318.6,28217.376897276834,1.1860278976500418e+16,38555.06931436335,7.239659424662893e+27,23846.756183021196,7.969005165877468e+26,895.3153008000347,7.194568453735868e-06,63296.829351099776,8.366408017578915e-07,47345.846674139146,9.219577026707455e-05,80028.36487649083,0.0009901032361030989,13968.2450407052,3.304245678448962e-06,1.5032476226537922e-13,0.39321173585507235,3.00516411873589e-09,0.027201398177169003,0.9727985988176668,,1.0555128649896344e-09,8152589.354724536,2.838494787674705e-06,4.6575089077425693e-07,metal,metal,intact
7.24359045384538e-09,71304.69688892948,0.024833666879157293,17438.478814251128,1.3226988182366908e-17,70689.66801849895,0.09136063480331634,85497.78246985094,0.0018419753616362694,5.985174691945944e-06,6667948.707201704,0.09890869012759015,0.038705369739344235,0.0731895894126536,0.4318958967960134,84.36170788123546,0.00028018053645230835,9.14118868788578e-10,9.791409235207168e+28,20138.15763206245,711441355918538.4,26138.620385804847,4.98194548721998e+16,44932.617749482466,4.8498876268041433e+27,24684.89479422548,1.1300972944547513e+27,701.6400169823744,8.278539404059306e-06,67501.15835040945,3.0230264461289246e-07,48571.720300738816,1.7290390936564637e-05,86992.83587216212,0.0009474707674588363,27210.135378323288,1.5316565305998256e-09,3.770460040083187e-18,0.11785286136589437,2.889550689612818e-10,0.41330325809321744,0.5866967416178276,,3.548180452302713e-13,685004.3217738682,8.736604863158278e-10,6.579960442839978e-10,metal,mixed,mixed
8.022833484678424e-08,67866.95837312854,0.06724676873505997,32506.11145554378,7.392019526868733e-17,69836.65601146485,0.3410204616620253,70483.05887278075,0.002123351865744628,6.7474481643565236e-06,7546326.513176523,0.028655516337735124,0.008324537370987558,0.08657994425767239,0.4502142276331519,42.001123529645966,0.0004173166399412388,4.4107473138041605e-10,1.141471455148737e+29,24501.43021542454,621740834397769.6,29171.162747680642,4.529110949190872e+16,35611.821587235165,6.421359710686205e+27,33606.374235349744,6.418181777849114e+26,1096.1775430698847,8.597754764951382e-06,49801.87456398,8.484251348749842e-07,31219.339172907625,7.007170470726968e-05,90694.09634233227,0.00020467310517899079,19635.94922292382,0.00017311724697535133,4.033527095888916e-13,0.5920249468790991,6.219084550769925e-08,0.5200814548857171,0.47991848292343753,,9.209359931080846e-09,395605.0175343023,0.00011107119585313493,6.20460511222164e-05,oxide,mixed,mixed
1.5244791253714617e-07,75801.34489737921,0.04086769519176321,29580.19935265701,3.771217902048198e-17,70324.07087104977,0.26915685657860283,163291.58614952586,0.0021826863239679598,4.436884655960099e-06,9935901.146315351,0.0015963663105010902,0.01384287921134628,0.021346482360615038,0.44567740401227834,49.78062342169613,0.00021455351179085604,8.951942461226325e-10,1.191909841271674e+29,23116.46832689571,719140808507010.8,27300.548805592432,4771142606933462.0,49948.504206938174,2.0120295032172552e+27,28243.380698639117,2.7768428727121406e+26,881.1353445987451,1.1736437853824519e-06,47116.97861939219,1.9428150006138859e-07,30818.10152845905,8.437018528443648e-05,96370.12366367542,0.0003959077841661471,37851.386001555344,9.134773030950528e-06,1.893665517633578e-13,0.34691679062447783,1.1053322648173143e-08,0.06377196975303145,0.9362280191936458,,5.111764389989434e-10,8669955.48003237,8.780220696028698e-06,3.5455233492183025e-07,metal,metal,intact
2.977758801662187e-07,76291.99065505866,0.03683387638419684,6415.712683704661,5.849005167169172e-17,70535.56597412378,0.14916754715112512,25972.950168668503,0.0005092521753221871,2.8531656549207347e-06,3988714.606962357,0.09911490900968972,0.0722215042928221,0.08843629879207847,0.442603496113584,72.63031040851351,0.0002029002645905524,9.741862276506988e-10,1.0776488039422547e+29,22353.021272430004,533247952407378.0,26525.096672703297,3.0332137389247576e+16,36335.18988969388,8.34729675859479e+27,32307.315934320017,5.2445296387330896e+26,731.82214307076,6.6033025319453005e-06,50185.958099004674,5.858049085585059e-07,28711.574675489246,8.731817521458185e-05,87352.75941886709,0.0006275330550491389,7991.8640131878765,7.021696339776181e-07,3.490069826752473e-17,0.29500276138556075,3.9870288752286463e-07,0.16063847344565396,0.8393611278514583,,5.984539413521139e-11,73.66721407915323,1.8006476667617547e-08,6.841631573100005e-07,metal,metal,pinhole
